N,BIBID,ITEMID,Code barre,D.CREATION,D.MODIF,Cote,Inventaire,Titre,Auteur,Staff-Note,ISBN-A,Item class,Nb Page,Date edition,Editeur,Prix
0,441520,2039446,'046200019198',8/1/2011,8/1/2011,REI 189(5),inv. 13239 (4),Economie internationale,"Paul R. Krugman, Maurice Obstfeld trad. [de la 3e éd.] par Achille Hannequart et Fabienne Leloup",inv. 13239 (4),2-8041-2094-5,Monographie prêtable (50),XVI-891 p.,1995,De Boeck université,-
1,1520630,1302422,' 046200005914',9/29/2010,9/29/2010,GC 1489,14421,Ordonnancement et gestion de production,Pierre Lamy -,14421,2-86601-106-6,Monographie prêtable (50),215 p.,1991,Hermes,-
2,254245,1462201,' 046200008318',10/30/2010,10/30/2010,MICRO 55 (B2),inv. 3760 B,Les Fondements de l'analyse economique,"par Paul Anthony Samuelson,... traduction annotee par Georges Gaudot",inv. 3760 B,2-04-006153-3,Monographie prêtable (50),"2 vol. (XXII-348, IX-186 p.)",1971,Dunod,57 F
3,1581795,1503699,' 046200012939',11/9/2010,11/9/2010,DT 17 (2),inv. 5409,Sécurité sociale,Jean-Jacques Dupeyroux -,inv. 5409,-,Monographie prêtable (50),260 p.,1972,Sirey,-
4,1464513,1840761,' 046200016395',3/18/2011,3/18/2011,GC 219,inv. 5696,Les deux dimensions du management,- -,inv. 5696,2-7081-0024-6,Monographie prêtable (50),253 p.,1977,Editions d'organisation,-
5,1647571,1993007,' 046200018608',6/14/2011,6/14/2011,GC 347,inv. 4631,Accountancy,William Pickles -,inv. 4631,-,Monographie prêtable (50),3226 p.,191960,Pitman publishing,-
6,1637797,1937343,'!046200018061',5/12/2011,5/12/2011,STA 352 (1),inv. 14029,Probability and statistics for engineers and scientists,Ronald E. Walpole -,inv. 14029,-,Monographie prêtable (50),736 p.,1998,Prentice hall international,-
7,874645,1871344,')$^@)))!^*',4/11/2011,4/11/2011,ECO ENT 107,inv. 5306,Technology and employment in industry,"[International labour organization, World employment programme] � A.S. Bhalla",inv. 5306,92-2-101238-7,Monographie prêtable (50),324 p.,1975,International labour office,-
8,12779,1892804,"',n046200017209'",4/20/2011,4/20/2011,US 121 (B1),inv. 11519,Encyclopédie de gestion,- sous la dir. de Patrick Joffre,inv. 11519,2-7178-1694-1,Monographie prêtable (50),2126p.,1989,Économica,-
9,476750,805899,'-',6/25/2010,6/25/2010,MAR 663 (8 ),16015 (8046200000017 ),Comprendre le comportement du consommateur,Mohamed Kadhem Kilani -,-,-,Monographie prêtable (50),210 p.,2003,Edition L'Expert,-
10,5259,1651631,'-',12/16/2010,4/13/2011,-,-,Mathématiques en sciences économiques V II : exercices,Tahar Abdessalem -,-,9973-901-00-2 / 9973-901-01-0,Monographie prêtable (50),337 p,1989,"Centre d'Etudes, de Recherches et de Publications",-
11,1566337,1441966,'-',10/27/2010,10/27/2010,-,-,Microéconomie des marchés,Abdallah Akari -,-,978-9973-51-197-2,Monographie prêtable (50),512 p.,2000,[A. Akari],-
12,5259,1651555,'-',12/16/2010,4/13/2011,-,-,Mathématiques en sciences économiques V II : exercices,Tahar Abdessalem -,-,9973-901-00-2 / 9973-901-01-0,Monographie prêtable (50),337 p,1989,"Centre d'Etudes, de Recherches et de Publications",-
13,1577905,1910682,'-',4/28/2011,4/28/2011,ENT. PRE 046200017562,-,essentials of entrepreneurship and small business management,"Thomas W. Zimmerer, Norman M. Scarborough -",-,9.78013E+12,Monographie prêtable (50),728p.,2008,Pearson Education,-
14,476764,804144,'-',6/25/2010,6/25/2010,MAR 673 (2 ),16498 (2 ),La Distribution,Jacques Dioux et Marc Dupuis -,-,2-7440-7078-5,Monographie prêtable (50),XVI-527 p.,2005,Pearson education,-
15,790189,2848636,'-',12/10/2018,12/10/2018,-,inv. 17267,Tout sur le webmastering,Jean-François Pillou -,inv. 17267,2100496530,Monographie prêtable (50),1 vol. (XIII-242 p.),DL 2005,Dunod,"9,90 EUR"
16,1729122,2843312,'-',11/13/2018,11/13/2018,-,inv. 20524,Mercator 2013,"Lendrevie, Lévy -",inv. 20524,9.7821E+12,Monographie prêtable (50),1 vol. (VII-1130 p.),DL 2012,Dunod,57 EUR
17,1593972,2709776,'-',2/10/2017,2/10/2017,-,-,Real english authentic learning,Sandra Cole -,-,9.78277E+12,Monographie prêtable (50),148 p.,2009,Chenelière Education,-
18,1755516,2650457,'-',10/3/2016,10/3/2016,-,inv.19131,La création d'entreprise pas à pas,Sylvie Rousseau -,inv.19131,9.78231E+12,Monographie prêtable (50),219 p.,impr. 2012,Vuibert pratique,-
19,548958,2504177,'-',9/30/2014,9/30/2014,-,inv. 19484,Comptabilité financière normes IAS-IFRS,"Bruno Colmant, Pierre-Armand Michel, Hubert Tondeur -",inv. 19484,9.78274E+12,Monographie prêtable (50),249 p.,2008,Pearson,-
20,74631,2502219,'-',9/18/2014,9/18/2014,INF,inv. 19298,Le guide du Net-trading,Alpesh Patel trad. de l'anglais par Jean-Luc Rostan,inv. 19298,2842111370,Monographie prêtable (50),XVII-363 p.,2001,Village mondial,39 EUR
21,3210,2466281,'-',4/4/2014,4/4/2014,GC 1260(3),N°d'inv. 14644 (2),Contrôle de gestion,Michel Gervais -,N°d'inv. 14644 (2),2-7178-3474-5,Monographie prêtable (50),719 p.,1997,Economica,198 F
22,870364,2136585,'-',12/12/2011,12/12/2011,GC 758(7),-,"ºaPersonal learning aid for principles of investments / ºcFrederick Amling ; coordinating editor, Roger H. Hermanson",- -,-,870943367,Monographie prêtable (50),210 p. ; ºc26 cm.,-,-,-
23,870366,2136531,'-',12/12/2011,12/12/2011,GC 760 (9),inv. 9501 (4),"ºaNew venture analysis : ºbresearch, planning, and finance / ºcDennis R. Costello",- -,inv. 9501 (4),087094505X,Monographie prêtable (50),190 p. : ºbill. ; ºc24 cm.,-,-,-
24,1099859,2045904,'-',8/25/2011,8/25/2011,-,-,The new encyclopaedia britannica,Jacob E . Safra -,-,-,Monographie prêtable (50),1096 p.,2007,"Encyclopaedia Britanniac , Inc",-
25,1644460,1974800,'-',6/1/2011,6/1/2011,GC 69,inv. 5321 (7),Comptabilité,R. Barré -,inv. 5321 (7),-,Monographie prêtable (50),331 p.,1973,Librairie ISTRA,-
26,1579191,1936317,'-',5/12/2011,5/12/2011,ME 33 (2),inv. 9300 (2),Contraction et synthèse de textes à l'entrée des grandes écoles,H.E.C.- ESSEC - E.S.C.P. ... -,inv. 9300 (2),272981101x,Monographie prêtable (50),191 p.,1988,Edition Marketing,-
27,132128,1916128,'-',5/2/2011,5/2/2011,-,-,L'Adaptation des éléves aux exigences de l'école et les incidences de cette adaptation sur les performances scolaires,Hamida Chaouch Sous la Direction de Ahmed Chabchoub,-,-,Monographie prêtable (50),138 p.,2004,Faculté des Sciences Humaines et Sociales,-
28,132128,1916124,'-',5/2/2011,5/2/2011,-,-,L'Adaptation des éléves aux exigences de l'école et les incidences de cette adaptation sur les performances scolaires,Hamida Chaouch Sous la Direction de Ahmed Chabchoub,-,-,Monographie prêtable (50),138 p.,2004,Faculté des Sciences Humaines et Sociales,-
29,132128,1916120,'-',5/2/2011,5/2/2011,-,-,L'Adaptation des éléves aux exigences de l'école et les incidences de cette adaptation sur les performances scolaires,Hamida Chaouch Sous la Direction de Ahmed Chabchoub,-,-,Monographie prêtable (50),138 p.,2004,Faculté des Sciences Humaines et Sociales,-
30,5350,1902385,'-',4/25/2011,4/25/2011,BB 170 (7),inv. 15174,Gestion du risque de change,Patrice Fontaine -,inv. 15174,2-7178-3016-2,Monographie prêtable (50),111 p.,1996,Économica,49 F
31,29135,1896475,'-',4/21/2011,4/21/2011,-,-,Le recrutement et l'intégration des cadres,Jean Vassal -,-,-,Monographie prêtable (50),124 p.,1970,Dunod,-
32,10183,1884153,'-',4/15/2011,4/15/2011,-,-,Comptabilité analytique de gestion,Mohamed Ben Ali -,-,-,Monographie prêtable (50),276p.,1999,[Impr. STAG],-
33,5259,1874184,'-',4/12/2011,4/14/2011,-,-,Mathématiques en sciences économiques V II : exercices,Tahar Abdessalem -,-,9973-901-00-2 / 9973-901-01-0,Monographie prêtable (50),337 p,1989,"Centre d'Etudes, de Recherches et de Publications",-
34,1625896,1855370,'-',3/31/2011,4/5/2011,-,-,Le système financier et monétaire international,Jean-Pierre Faugere Colette Voisin,-,-,Monographie prêtable (50),224p.,1995,Nathan,-
35,5259,1651620,'-',12/16/2010,4/13/2011,-,-,Mathématiques en sciences économiques V II : exercices,Tahar Abdessalem -,-,9973-901-00-2 / 9973-901-01-0,Monographie prêtable (50),337 p,1989,"Centre d'Etudes, de Recherches et de Publications",-
36,5259,1651615,'-',12/16/2010,4/13/2011,-,-,Mathématiques en sciences économiques V II : exercices,Tahar Abdessalem -,-,9973-901-00-2 / 9973-901-01-0,Monographie prêtable (50),337 p,1989,"Centre d'Etudes, de Recherches et de Publications",-
37,1502499,1651598,'-',12/16/2010,4/13/2011,-,-,Mathématiques en sciences économiques,Tahar Abdessalem -,-,9973-901-00-2,Monographie prêtable (50),247 p.,1989,CERP,-
38,5259,1651584,'-',12/16/2010,4/13/2011,),-,Mathématiques en sciences économiques V II : exercices,Tahar Abdessalem -,-,9973-901-00-2 / 9973-901-01-0,Monographie prêtable (50),337 p,1989,"Centre d'Etudes, de Recherches et de Publications",-
39,5259,1651576,'-',12/16/2010,4/13/2011,-,-,Mathématiques en sciences économiques V II : exercices,Tahar Abdessalem -,-,9973-901-00-2 / 9973-901-01-0,Monographie prêtable (50),337 p,1989,"Centre d'Etudes, de Recherches et de Publications",-
40,5259,1651547,'-',12/16/2010,4/13/2011,-,-,Mathématiques en sciences économiques V II : exercices,Tahar Abdessalem -,-,9973-901-00-2 / 9973-901-01-0,Monographie prêtable (50),337 p,1989,"Centre d'Etudes, de Recherches et de Publications",-
41,5259,1651536,'-',12/16/2010,4/13/2011,-,-,Mathématiques en sciences économiques V II : exercices,Tahar Abdessalem -,-,9973-901-00-2 / 9973-901-01-0,Monographie prêtable (50),337 p,1989,"Centre d'Etudes, de Recherches et de Publications",-
42,5259,1651514,'-',12/16/2010,4/13/2011,-,-,Mathématiques en sciences économiques V II : exercices,Tahar Abdessalem -,-,9973-901-00-2 / 9973-901-01-0,Monographie prêtable (50),337 p,1989,"Centre d'Etudes, de Recherches et de Publications",-
43,5259,1628214,'-',12/11/2010,4/14/2011,-,-,Mathématiques en sciences économiques V II : exercices,Tahar Abdessalem -,-,9973-901-00-2 / 9973-901-01-0,Monographie prêtable (50),337 p,1989,"Centre d'Etudes, de Recherches et de Publications",-
44,5259,1624455,'-',12/10/2010,4/13/2011,-,-,Mathématiques en sciences économiques V II : exercices,Tahar Abdessalem -,-,9973-901-00-2 / 9973-901-01-0,Monographie prêtable (50),337 p,1989,"Centre d'Etudes, de Recherches et de Publications",-
45,5259,1624359,'-',12/10/2010,4/14/2011,-,),Mathématiques en sciences économiques V II : exercices,Tahar Abdessalem -,),9973-901-00-2 / 9973-901-01-0,Monographie prêtable (50),337 p,1989,"Centre d'Etudes, de Recherches et de Publications",-
46,5259,1624337,'-',12/10/2010,4/13/2011,-,-,Mathématiques en sciences économiques V II : exercices,Tahar Abdessalem -,-,9973-901-00-2 / 9973-901-01-0,Monographie prêtable (50),337 p,1989,"Centre d'Etudes, de Recherches et de Publications",-
47,5259,1624326,'-',12/10/2010,4/14/2011,-,-,Mathématiques en sciences économiques V II : exercices,Tahar Abdessalem -,-,9973-901-00-2 / 9973-901-01-0,Monographie prêtable (50),337 p,1989,"Centre d'Etudes, de Recherches et de Publications",-
48,141831,1610799,'-',12/6/2010,12/6/2010,-,-,Study listening,Tony Lynch -,-,521273153,Monographie prêtable (50),IV - 92 p.,1983,Cambridge University Press,-
49,141831,1610790,'-',12/6/2010,12/6/2010,-,-,Study listening,Tony Lynch -,-,521273153,Monographie prêtable (50),IV - 92 p.,1983,Cambridge University Press,-
50,1512264,1606076,'-',12/4/2010,12/4/2010,STA 73 (A1),inv. 3842 (1),Techniques statistiques...,- -,inv. 3842 (1),2-04-004143-5,Monographie prêtable (50),XII-244 p.,1976,Dunod,35 F
51,138212,1600755,'-',12/3/2010,12/3/2010,9.7821E+12,-,Comptabilité générale de l'entreprise,"Alain Fayel, Daniel Pernot -",-,2100071254,Monographie prêtable (50),375p.,2003,Dunod,-
52,65490,1586864,'-',11/30/2010,4/5/2011,-,-,Le capital-risque,Mondher Cherif -,-,2-86325-308-5,Monographie prêtable (50),128 p.,2000,"""Banque"" éd.","89 F : 13,57 EUR"
53,65490,1586859,'-',11/30/2010,4/5/2011,-,-,Le capital-risque,Mondher Cherif -,-,2-86325-308-5,Monographie prêtable (50),128 p.,2000,"""Banque"" éd.","89 F : 13,57 EUR"
54,1559520,1549968,'-',11/22/2010,11/22/2010,REI 36(54),inv. 10465(53),Economie internationale,"Peter H. Lindert,... Charles P. Kindleberger,... avant-propos... Bernard Lassudrie-Duchêne ; traduit de l'américain par Philippe de Lavergne",inv. 10465(53),-,Monographie prêtable (50),XIV-648 p.,1983,Economica,-
55,915620,1526562,'-',11/13/2010,11/13/2010,-,-,Apprendre à programmer en Turbo Pascal,Jameleddine Tazarki -,-,9973744136,Monographie prêtable (50),101p.,1992,Editions C.L.E.,-
56,871245,1485377,'-',11/4/2010,11/4/2010,HT 25(3),inv. 12220(3),Droit du tourisme,"Pierre Py,... pr� de Jean Boulouis",inv. 12220(3),2-247-01529-8,Monographie prêtable (50),XXII-446 p.,1993,Dalloz,220
57,1566337,1442100,'-',10/27/2010,10/27/2010,-,-,Microéconomie des marchés,Abdallah Akari -,-,978-9973-51-197-2,Monographie prêtable (50),512 p.,2000,[A. Akari],-
58,1566337,1442082,'-',10/27/2010,10/27/2010,-,-,Microéconomie des marchés,Abdallah Akari -,-,978-9973-51-197-2,Monographie prêtable (50),512 p.,2000,[A. Akari],-
59,1566337,1442064,'-',10/27/2010,10/27/2010,-,-,Microéconomie des marchés,Abdallah Akari -,-,978-9973-51-197-2,Monographie prêtable (50),512 p.,2000,[A. Akari],-
60,1566337,1442030,'-',10/27/2010,10/27/2010,-,-,Microéconomie des marchés,Abdallah Akari -,-,978-9973-51-197-2,Monographie prêtable (50),512 p.,2000,[A. Akari],-
61,1566337,1442015,'-',10/27/2010,10/27/2010,-,),Microéconomie des marchés,Abdallah Akari -,),978-9973-51-197-2,Monographie prêtable (50),512 p.,2000,[A. Akari],-
62,1566337,1441949,'-',10/27/2010,10/27/2010,-,-,Microéconomie des marchés,Abdallah Akari -,-,978-9973-51-197-2,Monographie prêtable (50),512 p.,2000,[A. Akari],-
63,1566337,1441934,'-',10/27/2010,10/27/2010,-,-,Microéconomie des marchés,Abdallah Akari -,-,978-9973-51-197-2,Monographie prêtable (50),512 p.,2000,[A. Akari],-
64,1566337,1441907,'-',10/27/2010,10/27/2010,-,-,Microéconomie des marchés,Abdallah Akari -,-,978-9973-51-197-2,Monographie prêtable (50),512 p.,2000,[A. Akari],-
65,1566337,1441889,'-',10/27/2010,10/27/2010,-,-,Microéconomie des marchés,Abdallah Akari -,-,978-9973-51-197-2,Monographie prêtable (50),512 p.,2000,[A. Akari],-
66,1566337,1441873,'-',10/27/2010,10/27/2010,-,-,Microéconomie des marchés,Abdallah Akari -,-,978-9973-51-197-2,Monographie prêtable (50),512 p.,2000,[A. Akari],-
67,1566337,1441853,'-',10/27/2010,10/27/2010,-,-,Microéconomie des marchés,Abdallah Akari -,-,978-9973-51-197-2,Monographie prêtable (50),512 p.,2000,[A. Akari],-
68,1407744,1438678,'-',10/26/2010,10/28/2010,-,-,Equilibre générale et allocation optimale des ressources,Abdallah Akari Préf. de Xavier Richet,-,-,Monographie prêtable (50),596p.,1998,Etigraph,-
69,1407744,1438675,'-',10/26/2010,10/28/2010,-,-,Equilibre générale et allocation optimale des ressources,Abdallah Akari Préf. de Xavier Richet,-,-,Monographie prêtable (50),596p.,1998,Etigraph,-
70,1407744,1438670,'-',10/26/2010,10/28/2010,-,-,Equilibre générale et allocation optimale des ressources,Abdallah Akari Préf. de Xavier Richet,-,-,Monographie prêtable (50),596p.,1998,Etigraph,-
71,1407744,1438662,'-',10/26/2010,10/28/2010,-,),Equilibre générale et allocation optimale des ressources,Abdallah Akari Préf. de Xavier Richet,),-,Monographie prêtable (50),596p.,1998,Etigraph,-
72,1407744,1438657,'-',10/26/2010,10/28/2010,-,-,Equilibre générale et allocation optimale des ressources,Abdallah Akari Préf. de Xavier Richet,-,-,Monographie prêtable (50),596p.,1998,Etigraph,-
73,1407744,1438637,'-',10/26/2010,10/28/2010,-,-,Equilibre générale et allocation optimale des ressources,Abdallah Akari Préf. de Xavier Richet,-,-,Monographie prêtable (50),596p.,1998,Etigraph,-
74,1407744,1438630,'-',10/26/2010,10/28/2010,-,-,Equilibre générale et allocation optimale des ressources,Abdallah Akari Préf. de Xavier Richet,-,-,Monographie prêtable (50),596p.,1998,Etigraph,-
75,1407744,1438624,'-',10/26/2010,10/28/2010,-,-,Equilibre générale et allocation optimale des ressources,Abdallah Akari Préf. de Xavier Richet,-,-,Monographie prêtable (50),596p.,1998,Etigraph,-
76,1407744,1438619,'-',10/26/2010,10/28/2010,-,-,Equilibre générale et allocation optimale des ressources,Abdallah Akari Préf. de Xavier Richet,-,-,Monographie prêtable (50),596p.,1998,Etigraph,-
77,1407744,1438614,'-',10/26/2010,10/28/2010,-,-,Equilibre générale et allocation optimale des ressources,Abdallah Akari Préf. de Xavier Richet,-,-,Monographie prêtable (50),596p.,1998,Etigraph,-
78,1407744,1438609,'-',10/26/2010,10/28/2010,-,-,Equilibre générale et allocation optimale des ressources,Abdallah Akari Préf. de Xavier Richet,-,-,Monographie prêtable (50),596p.,1998,Etigraph,-
79,1407744,1438605,'-',10/26/2010,10/28/2010,-,),Equilibre générale et allocation optimale des ressources,Abdallah Akari Préf. de Xavier Richet,),-,Monographie prêtable (50),596p.,1998,Etigraph,-
80,1407744,1438597,'-',10/26/2010,10/28/2010,-,-,Equilibre générale et allocation optimale des ressources,Abdallah Akari Préf. de Xavier Richet,-,-,Monographie prêtable (50),596p.,1998,Etigraph,-
81,1407744,1438594,'-',10/26/2010,10/28/2010,-,-,Equilibre générale et allocation optimale des ressources,Abdallah Akari Préf. de Xavier Richet,-,-,Monographie prêtable (50),596p.,1998,Etigraph,-
82,1407744,1438590,'-',10/26/2010,10/28/2010,-,-,Equilibre générale et allocation optimale des ressources,Abdallah Akari Préf. de Xavier Richet,-,-,Monographie prêtable (50),596p.,1998,Etigraph,-
83,1407744,1438587,'-',10/26/2010,10/28/2010,-,-,Equilibre générale et allocation optimale des ressources,Abdallah Akari Préf. de Xavier Richet,-,-,Monographie prêtable (50),596p.,1998,Etigraph,-
84,393608,1428973,'-',10/25/2010,10/25/2010,-,-,Droit civil,"Isabelle Bufflier,... -",-,2-85394-821-8,Monographie prêtable (50),249 p.,1996,Bréal,79 F
85,94056,1383391,'-',10/14/2010,10/14/2010,GC 709 (1),-,Contrôle de la gestion courante de l'entreprise,"B. H. Abtey, A. Vinay préface de A. Leenhardt",-,2-85354-138X,Monographie prêtable (50),232 p.,1984,CLET,-
86,92936,1360409,'-',10/12/2010,10/12/2010,-,-,Précis de comptabilité générale,"Jean Gillot, Daniel Lefebvre -",-,2-85394-461-1,Monographie prêtable (50),335 p.,1992,Bréal,175 F
87,92936,1360384,'-',10/12/2010,10/12/2010,-,-,Précis de comptabilité générale,"Jean Gillot, Daniel Lefebvre -",-,2-85394-461-1,Monographie prêtable (50),335 p.,1992,Bréal,175 F
88,874787,1366647,'-',10/12/2010,10/12/2010,GC 971,inv.10842,Manager en personne,Taibi Kahler adapt. fran�se de Jean-Claude Dernis,inv.10842,2-7296-0310-7,Monographie prêtable (50),180 p.,1989,Interd.,95 F
89,695993,1351244,'-',10/9/2010,10/19/2010,-,-,La Conduite d'une mission d'audit interne: M�odologie,Institut fran�s des auditeurs consultants internes -,-,9.7821E+12,Monographie prêtable (50),279 p,1998,Dunod,44 eur
90,68755,1338248,'-',10/7/2010,10/7/2010,GC 1276(B12),-,"Marchés d'options, contrats à terme et finance internationale",Ezzeddine Abaoub -,-,9973-17-761-4,Monographie prêtable (50),438 p.,1997,Horizons de la Finance Moderne,-
91,11455,1330356,'-',10/6/2010,10/6/2010,-,-,Gestion financière,Jacky Mailler -,-,2-10-003228-3,Monographie prêtable (50),Pagination multiple [ca 295] p.,1997,Dunod,125 F
92,3363,1293693,'-',9/28/2010,9/28/2010,GC 1586 (1 ),15255(1),Analyse financière et gestion des groupes,"Jacques Richard, Becom Simons et associés, Secafi Alpha -",15255(1),2717840176,Monographie prêtable (50),423 p.,2000,Économica,"275 F : 41,92 EUR"
93,3255,1273961,'-',9/24/2010,9/24/2010,-,-,Gestion financière multinationale,Jean Klein -,-,2717830286,Monographie prêtable (50),289 p.,1996,Économica,-
94,3269,1271673,'-',9/24/2010,9/24/2010,-,-,Les nouvelles technologies de l'information et l'entreprise,"Emmanuel-Arnaud Pateyron, Robert Salmon -",-,2-7178-3047-2,Monographie prêtable (50),111 p.,1996,Économica,49 F
95,138614,1241484,'-',9/20/2010,9/20/2010,-,-,Comportements du consommateur,"Denis Darpy, Pierre Volle -",-,978-2-10-049807-9,Monographie prêtable (50),1 vol. (XII-370 p.-VIII p. de pl.),DL 2007,Dunod,35 EUR
96,138614,1241464,'-',9/20/2010,9/20/2010,-,-,Comportements du consommateur,"Denis Darpy, Pierre Volle -",-,978-2-10-049807-9,Monographie prêtable (50),1 vol. (XII-370 p.-VIII p. de pl.),DL 2007,Dunod,35 EUR
97,138614,1241432,'-',9/20/2010,9/20/2010,-,-,Comportements du consommateur,"Denis Darpy, Pierre Volle -",-,978-2-10-049807-9,Monographie prêtable (50),1 vol. (XII-370 p.-VIII p. de pl.),DL 2007,Dunod,35 EUR
98,1517585,1240833,'-',9/20/2010,9/20/2010,-,16510 (1),Le marketing,"Denis Lindon, Frédéric Jallat -",16510 (1),2100-493744,Monographie prêtable (50),445 p.,2005,Dunod,-
99,1534995,931846,'-',7/6/2010,7/6/2010,-,-,Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
100,59164,803695,'-',6/25/2010,9/20/2010,-,-,Marketing research,"Alain Jolibert, Philippe Jourdan -",-,2-10-007882-8,Monographie prêtable (50),XXII-599 p.,impr. 2006,Dunod,40 EUR
101,1428408,805956,'-',6/25/2010,4/14/2011,-,-,Le Marketeur,"coord.par Christian Michon, jean-Claude Andréani, Olivier Badot -",-,2-7440-7011-4,Monographie prêtable (50),456 p.,2003,Pearson education,-
102,785134,1915386,'-046200017644',5/2/2011,5/2/2011,-,-,الجمهورية,مركز البحوث و الدّراسات البرلمانية -,-,978-9973-943-14-9,Monographie prêtable (50),444 ص.,2007,مجلس النواب,-
103,1535119,2524925,'04200002394',12/23/2014,12/23/2014,-,inv. 19215,"Probabilités, statistiques, [1re et 2e années]","par D. Degrave,... C. Degrave,... -",inv. 19215,2-7495-0386-8,Monographie prêtable (50),301 p.,2004,Bréal,"27,90 EUR"
104,138211,2708792,'04200003127',2/8/2017,2/8/2017,GC 1438(3),inv. 18350,La Pratique de L'audit Interne,Mohamed Fessi -,inv. 18350,9973828186,Monographie prêtable (50),283p.,1999,Editions.C.L.E.,15TND
105,75163,2097348,'045200001074',10/21/2011,10/21/2011,-,inv. 16949 (13),Les sociétés commerciales,"Slaheddine Mellouli, Sami Frikha -",inv. 16949 (13),978-9973-0-0413-0,Monographie prêtable (50),427 p.,2008,[s. n.],-
106,1409810,2502941,'045200002245',9/22/2014,9/22/2014,-,inv. 19287,Le guide des métiers du tourisme et de l'hotellerie-restauration,"Philippe Charollois, Fabrice Nidiau, Marie-Lorène Giniès... [et al.] -",inv. 19287,978-2-7590-0350-1,Monographie prêtable (50),245 p.,impr. 2008,Studyrama,15 EUR
107,748402,2745395,'045200003378',9/14/2017,11/24/2018,MAR 742,inv. 17904,E tudes appliques la communication,Pierre Ntoko -,inv. 17904,2-7135-2569-1,Monographie prêtable (50),1 vol. (159 p.),DL 2005,Casteilla,22 EUR
108,922422,2749452,'045200003411',9/20/2017,9/20/2017,-,inv. 17934,Diagnostic financier et évaluation de l'entreprise,Najib Ibn Abdeljalil -,inv. 17934,-,Monographie prêtable (50),543p,2006,Edit Consulting,-
109,76236,2765930,'04600003665',11/16/2017,11/16/2017,-,-,Les pays pauvres sont-ils condamnés à le rester ?,William Easterly Aymeric Piquet-Gauthier,-,2915-236208,Monographie prêtable (50),397 p.,2006,Nouveaux Horizons,-
110,1587052,2230647,'04620000',4/25/2012,4/25/2012,-,inv. 19056 (2),Comptabilité générale approfondie,"Azam Bechkir, Nacer Merzouk -",inv. 19056 (2),9.78996E+12,Monographie prêtable (50),339 p.,2004,Eurl pages bleues internationales,-
111,107157,791160,'046200000001',6/24/2010,6/24/2010,MAR 620(11 ),16651,Publicitor,"Jacques Lendrevie, Arnaud de Baynast avec la collab. de Nicolas Riou",-,2-247-05541-9,Monographie prêtable (50),XIII-624 p.,2004,Dalloz,-
112,107157,791335,'046200000002',6/24/2010,6/24/2010,MAR 620(12 ),16710,Publicitor,"Jacques Lendrevie, Arnaud de Baynast avec la collab. de Nicolas Riou",-,2-247-05541-9,Monographie prêtable (50),XIII-624 p.,2004,Dalloz,-
113,59164,803651,'046200000003',6/25/2010,6/25/2010,MAR 671 (2 ),16497 (2 ),Marketing research,"Alain Jolibert, Philippe Jourdan -",-,2-10-007882-8,Monographie prêtable (50),XXII-599 p.,impr. 2006,Dunod,40 EUR
114,476764,804368,'046200000004',6/25/2010,6/25/2010,MAR 673 (2 ),16498 (2 ),La Distribution,Jacques Dioux et Marc Dupuis -,-,2-7440-7078-5,Monographie prêtable (50),XVI-527 p.,2005,Pearson education,-
115,178399,804701,'046200000005',6/25/2010,6/25/2010,MAR 672 (2 ),16496 (2 ),Marketing planning,Burk Wood Marian -,-,2-7440-7101-3,Monographie prêtable (50),328 P.,2005,Pearson education,-
116,139580,804860,'046200000006',6/25/2010,3/12/2011,MAR 676 (2 ),16511 (2 ),Les tableaux de bord de la fonction commerciale,"Frédéric Buchet, Nicolas Caron -",-,2100491504,Monographie prêtable (50),250 p.,2006,Dunod,-
117,1515513,805090,'046200000007',6/25/2010,10/3/2013,MAR 678 ( 2 ),16513 (2 ),Méthodes de négociation,"Alain Pekar lempereur...,Aurélien Colson -",-,2100491946,Monographie prêtable (50),251.p.,2004,Dunod,-
118,112350,805634,'046200000008',6/25/2010,6/25/2010,MAR 680 (3 ),16635,�Le �marketing,"Denis Lindon, Fr�d�ric Jallat -",-,2-10-049225-X,Monographie prêtable (50),1 vol. (XVI-445 p.-dont 16 p. de pl.),impr. 2005,Dunod,35 EUR
119,112350,805671,'046200000009',6/25/2010,6/25/2010,MAR 680 (2 ),16510 (2 ),�Le �marketing,"Denis Lindon, Fr�d�ric Jallat -",-,2-10-049225-X,Monographie prêtable (50),1 vol. (XVI-445 p.-dont 16 p. de pl.),impr. 2005,Dunod,35 EUR
120,786468,805762,'046200000010',6/25/2010,6/25/2010,MAR 690 (3 ),16697 (3 ),De La Théorie à la Pratique Huit cas en Marketing,"Basma Ben Alaya Hamdi , Rym Boussofara Kamoun -",-,978-9973-45-035-7,Monographie prêtable (50),256 p.,2008,Contributions à la Littérature d'Entreprise,-
121,786468,805789,'046200000011',6/25/2010,6/25/2010,MAR 690 (2 ),16697 (2 ),De La Théorie à la Pratique Huit cas en Marketing,"Basma Ben Alaya Hamdi , Rym Boussofara Kamoun -",-,978-9973-45-035-7,Monographie prêtable (50),256 p.,2008,Contributions à la Littérature d'Entreprise,-
